Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 27. September 2009;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt.;
Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);
Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;DIE LINKE;FDP;GRÜNE;NPD;MLPD;REP;PIRATEN;Einzelbewerber;
A;1;Greifswald;0;kreisfreie Stadt;13001000;Greifswald, Hansestadt;52;52;45233;28841;63,8;1;468;28373;4309;9968;7664;2275;2659;703;x;x;x;795;
P;1;Greifswald;0;kreisfreie Stadt;13001000;Greifswald, Hansestadt;52;52;45233;28841;63,8;1;1,6;98,4;15,2;35,1;27,0;8,0;9,4;2,5;x;x;x;2,8;
A;1;Greifswald;0;kreisfreie Stadt;13001000;Greifswald, Hansestadt;52;52;45233;28841;63,8;2;408;28433;3883;9318;7502;2950;2781;669;62;59;1209;x;
P;1;Greifswald;0;kreisfreie Stadt;13001000;Greifswald, Hansestadt;52;52;45233;28841;63,8;2;1,4;98,6;13,7;32,8;26,4;10,4;9,8;2,4;0,2;0,2;4,3;x;
A;2;Neubrandenburg;0;kreisfreie Stadt;13002000;Neubrandenburg, Stadt;58;58;56278;36240;64,4;1;672;35568;6288;10362;12953;2512;1943;952;x;x;x;558;
P;2;Neubrandenburg;0;kreisfreie Stadt;13002000;Neubrandenburg, Stadt;58;58;56278;36240;64,4;1;1,9;98,1;17,7;29,1;36,4;7,1;5,5;2,7;x;x;x;1,6;
A;2;Neubrandenburg;0;kreisfreie Stadt;13002000;Neubrandenburg, Stadt;58;58;56278;36240;64,4;2;544;35696;6197;10804;12094;2909;1779;859;93;63;898;x;
P;2;Neubrandenburg;0;kreisfreie Stadt;13002000;Neubrandenburg, Stadt;58;58;56278;36240;64,4;2;1,5;98,5;17,4;30,3;33,9;8,1;5,0;2,4;0,3;0,2;2,5;x;
A;3;Rostock;0;kreisfreie Stadt;13003000;Rostock, Hansestadt;190;190;169637;111062;65,5;1;1828;109234;22067;27616;36022;6898;12545;2749;466;x;x;871;
P;3;Rostock;0;kreisfreie Stadt;13003000;Rostock, Hansestadt;190;190;169637;111062;65,5;1;1,6;98,4;20,2;25,3;33,0;6,3;11,5;2,5;0,4;x;x;0,8;
A;3;Rostock;0;kreisfreie Stadt;13003000;Rostock, Hansestadt;190;190;169637;111062;65,5;2;1622;109440;20210;28246;34497;9906;9824;2553;280;143;3781;x;
P;3;Rostock;0;kreisfreie Stadt;13003000;Rostock, Hansestadt;190;190;169637;111062;65,5;2;1,5;98,5;18,5;25,8;31,5;9,1;9,0;2,3;0,3;0,1;3,5;x;
A;4;Schwerin;0;kreisfreie Stadt;13004000;Schwerin, Landeshauptstadt;87;87;78798;51873;65,8;1;830;51043;13281;13463;15608;3736;3707;1248;x;x;x;x;
P;4;Schwerin;0;kreisfreie Stadt;13004000;Schwerin, Landeshauptstadt;87;87;78798;51873;65,8;1;1,6;98,4;26,0;26,4;30,6;7,3;7,3;2,4;x;x;x;x;
A;4;Schwerin;0;kreisfreie Stadt;13004000;Schwerin, Landeshauptstadt;87;87;78798;51873;65,8;2;656;51217;10769;14829;14862;4458;3775;1135;111;65;1213;x;
P;4;Schwerin;0;kreisfreie Stadt;13004000;Schwerin, Landeshauptstadt;87;87;78798;51873;65,8;2;1,3;98,7;21,0;29,0;29,0;8,7;7,4;2,2;0,2;0,1;2,4;x;
A;5;Stralsund;0;kreisfreie Stadt;13005000;Stralsund, Hansestadt;57;57;49186;29911;60,8;1;464;29447;3595;14878;7252;997;1054;709;x;x;x;962;
P;5;Stralsund;0;kreisfreie Stadt;13005000;Stralsund, Hansestadt;57;57;49186;29911;60,8;1;1,6;98,4;12,2;50,5;24,6;3,4;3,6;2,4;x;x;x;3,3;
