Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 22. September 2013
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Beispiel: 13071751 - Briefwahlergebnis der Gemeinden des Amtes Demmin-Land (Amt 5151)
Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;CDU;DIE LINKE;SPD;FDP;GRÜNE;NPD;PIRATEN;MLPD;REP;AfD;pro Deutschland;FREIE WÄHLER;Einzelbewerber
27.09.2013 13:25:24;A;3;Rostock;1;Rostock, Hansestadt;13003000;Rostock, Hansestadt;161;161;169982;114208;67,2;1;1751;112457;35871;36559;20964;1162;9269;2521;2650;427;x;x;x;959;2075
27.09.2013 13:25:24;P;3;Rostock;1;Rostock, Hansestadt;13003000;Rostock, Hansestadt;161;161;169982;114208;67,2;1;1,5;98,5;31,9;32,5;18,6;1,0;8,2;2,2;2,4;0,4;x;x;x;0,9;1,8
27.09.2013 13:25:24;A;3;Rostock;1;Rostock, Hansestadt;13003000;Rostock, Hansestadt;161;161;169982;114208;67,2;2;1391;112817;39839;27979;22326;2144;8180;1838;3049;246;92;6157;172;795;x
27.09.2013 13:25:24;P;3;Rostock;1;Rostock, Hansestadt;13003000;Rostock, Hansestadt;161;161;169982;114208;67,2;2;1,2;98,8;35,3;24,8;19,8;1,9;7,3;1,6;2,7;0,2;0,1;5,5;0,2;0,7;x
27.09.2013 13:25:24;A;4;Schwerin;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;72;72;77730;52959;68,1;1;874;52085;17960;12995;13768;711;2335;1502;1309;x;x;x;x;1378;127
27.09.2013 13:25:24;P;4;Schwerin;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;72;72;77730;52959;68,1;1;1,7;98,3;34,5;24,9;26,4;1,4;4,5;2,9;2,5;x;x;x;x;2,6;0,2
27.09.2013 13:25:24;A;4;Schwerin;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;72;72;77730;52959;68,1;2;708;52251;19163;11613;11486;1100;3013;1105;1031;67;16;3058;68;531;x
27.09.2013 13:25:24;P;4;Schwerin;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;72;72;77730;52959;68,1;2;1,3;98,7;36,7;22,2;22,0;2,1;5,8;2,1;2,0;0,1;0,0;5,9;0,1;1,0;x
27.09.2013 13:25:24;A;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Stadt;58;58;54308;35607;65,6;1;608;34999;13591;10306;7178;440;1059;1007;1032;x;x;x;x;386;x
27.09.2013 13:25:24;P;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Stadt;58;58;54308;35607;65,6;1;1,7;98,3;38,8;29,4;20,5;1,3;3,0;2,9;2,9;x;x;x;x;1,1;x
27.09.2013 13:25:24;A;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Stadt;58;58;54308;35607;65,6;2;521;35086;13767;9056;6418;624;1336;776;779;50;51;1926;64;239;x
27.09.2013 13:25:24;P;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Stadt;58;58;54308;35607;65,6;2;1,5;98,5;39,2;25,8;18,3;1,8;3,8;2,2;2,2;0,1;0,1;5,5;0,2;0,7;x
27.09.2013 13:25:24;A;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;9;9;3832;2455;64,1;1;37;2418;1246;515;407;43;53;89;37;6;x;x;x;22;x
27.09.2013 13:25:24;P;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;9;9;3832;2455;64,1;1;1,5;98,5;51,5;21,3;16,8;1,8;2,2;3,7;1,5;0,2;x;x;x;0,9;x
27.09.2013 13:25:24;A;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;9;9;3832;2455;64,1;2;33;2422;1218;472;338;52;71;68;30;2;0;144;6;21;x
27.09.2013 13:25:24;P;71;Mecklenburgische Seenplatte;111;Dargun, Stadt;13071027;Dargun, Stadt;9;9;3832;2455;64,1;2;1,3;98,7;50,3;19,5;14,0;2,1;2,9;2,8;1,2;0,1;0,0;5,9;0,2;0,9;x
27.09.2013 13:25:24;A;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;11;11;10028;5565;55,5;1;102;5463;2788;1295;770;64;83;266;126;10;x;x;x;61;x
27.09.2013 13:25:24;P;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;11;11;10028;5565;55,5;1;1,8;98,2;51,0;23,7;14,1;1,2;1,5;4,9;2,3;0,2;x;x;x;1,1;x
27.09.2013 13:25:24;A;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;11;11;10028;5565;55,5;2;87;5478;2650;1229;733;87;98;213;78;3;5;323;14;45;x
27.09.2013 13:25:24;P;71;Mecklenburgische Seenplatte;112;Demmin, Hansestadt;13071029;Demmin, Hansestadt;11;11;10028;5565;55,5;2;1,6;98,4;48,4;22,4;13,4;1,6;1,8;3,9;1,4;0,1;0,1;5,9;0,3;0,8;x
27.09.2013 13:25:24;A;71;Mecklenburgische Seenplatte;113;Feldberger Seenlandschaft;13071033;Feldberger Seenlandschaft;10;10;3844;2479;64,5;1;43;2436;1095;592;478;34;79;71;55;x;x;x;x;32;x
27.09.2013 13:25:24;P;71;Mecklenburgische Seenplatte;113;Feldberger Seenlandschaft;13071033;Feldberger Seenlandschaft;10;10;3844;2479;64,5;1;1,7;98,3;45,0;24,3;19,6;1,4;3,2;2,9;2,3;x;x;x;x;1,3;x
27.09.2013 13:25:24;A;71;Mecklenburgische Seenplatte;113;Feldberger Seenlandschaft;13071033;Feldberger Seenlandschaft;10;10;3844;2479;64,5;2;41;2438;1072;532;423;57;106;54;44;2;7;111;7;23;x
27.09.2013 13:25:24;P;71;Mecklenburgische Seenplatte;113;Feldberger Seenlandschaft;13071033;Feldberger Seenlandschaft;10;10;3844;2479;64,5;2;1,7;98,3;44,0;21,8;17,4;2,3;4,3;2,2;1,8;0,1;0,3;4,6;0,3;0,9;x
27.09.2013 13:25:24;A;71;Mecklenburgische Seenplatte;114;Neustrelitz, Stadt;13071110;Neustrelitz, Stadt;16;16;17594;11152;63,4;1;182;10970;4304;2907;2441;139;401;350;258;46;x;x;x;124;x
27.09.2013 13:25:24;P;71;Mecklenburgische Seenplatte;114;Neustrelitz, Stadt;13071110;Neustrelitz, Stadt;16;16;17594;11152;63,4;1;1,6;98,4;39,2;26,5;22,3;1,3;3,7;3,2;2,4;0,4;x;x;x;1,1;x
27.09.2013 13:25:24;A;71;Mecklenburgische Seenplatte;114;Neustrelitz, Stadt;13071110;Neustrelitz, Stadt;16;16;17594;11152;63,4;2;132;11020;4334;2742;2062;171;447;276;203;20;5;654;26;80;x
