Wahl zum Deutschen Bundestag in Mecklenburg-Vorpommern am 24. September 2017
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Beispiel: 13071751 - Briefwahlergebnis der Gemeinden des Amtes Demmin-Land (Amt 5151)
(c) Die Landeswahlleiterin Mecklenburg-Vorpommern

Berechnungsdatum;Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;Wähler;Wahlbeteiligung;Erst-/Zweitstimme;Ungültige Stimmen;Gültige Stimmen;CDU;DIE LINKE;SPD;AfD;GRÜNE;NPD;FDP;FREIE  WÄHLER;MLPD;BGE;ÖDP;Die PARTEI;Tierschutzpartei;Einzelbewerber
29.09.2017 09:37:23;A;3;Rostock;1;Rostock, Hansestadt;13003000;Hansestadt Rostock;162;162;168771;121903;72,2;1;1334;120569;32564;31962;22656;16717;6900;x;5267;1014;316;x;473;2700;x;x
29.09.2017 09:37:23;P;3;Rostock;1;Rostock, Hansestadt;13003000;Hansestadt Rostock;162;162;168771;121903;72,2;1;1,1;98,9;27,0;26,5;18,8;13,9;5,7;x;4,4;0,8;0,3;x;0,4;2,2;x;x
29.09.2017 09:37:23;A;3;Rostock;1;Rostock, Hansestadt;13003000;Hansestadt Rostock;162;162;168771;121903;72,2;2;1281;120622;34313;26688;19805;17701;8434;657;7662;687;246;458;287;2217;1467;x
29.09.2017 09:37:23;P;3;Rostock;1;Rostock, Hansestadt;13003000;Hansestadt Rostock;162;162;168771;121903;72,2;2;1,1;98,9;28,4;22,1;16,4;14,7;7,0;0,5;6,4;0,6;0,2;0,4;0,2;1,8;1,2;x
29.09.2017 09:37:23;A;4;Schwerin;2;Schwerin, Landeshauptstadt;13004000;Landeshauptstadt Schwerin;71;71;76665;55594;72,5;1;706;54888;15602;11067;12243;8144;2493;349;2707;1804;176;x;x;x;x;303
29.09.2017 09:37:23;P;4;Schwerin;2;Schwerin, Landeshauptstadt;13004000;Landeshauptstadt Schwerin;71;71;76665;55594;72,5;1;1,3;98,7;28,4;20,2;22,3;14,8;4,5;0,6;4,9;3,3;0,3;x;x;x;x;0,6
29.09.2017 09:37:23;A;4;Schwerin;2;Schwerin, Landeshauptstadt;13004000;Landeshauptstadt Schwerin;71;71;76665;55594;72,5;2;551;55043;16551;10491;10217;8594;2934;368;3650;694;92;155;52;691;554;x
29.09.2017 09:37:23;P;4;Schwerin;2;Schwerin, Landeshauptstadt;13004000;Landeshauptstadt Schwerin;71;71;76665;55594;72,5;2;1,0;99,0;30,1;19,1;18,6;15,6;5,3;0,7;6,6;1,3;0,2;0,3;0,1;1,3;1,0;x
29.09.2017 09:37:23;A;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Stadt;50;50;52708;36948;70,1;1;482;36466;10095;9672;5614;6827;1181;279;1867;426;x;x;x;505;x;x
29.09.2017 09:37:23;P;71;Mecklenburgische Seenplatte;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Stadt;50;50;52708;36948;70,1;1;1,3;98,7;27,7;26,5;15,4;18,7;3,2;0,8;5,1;1,2;x;x;x;1,4;x;x
