Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 22. September 2002;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;
Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;PDS;GRÜNE;FDP;NPD;REP;Schill;Einzelbewerber
A;1;Greifswald;0;Kreisfreie Stadt;13001000;Greifswald, Hansestadt;55;55;42939;29859;69,5;1;573;29286;11723;9787;4734;827;1569;x;x;451;195
P;1;Greifswald;0;Kreisfreie Stadt;13001000;Greifswald, Hansestadt;55;55;42939;29859;69,5;1;1,9;98,1;40;33,4;16,2;2,8;5,4;x;x;1,5;0,7
A;1;Greifswald;0;Kreisfreie Stadt;13001000;Greifswald, Hansestadt;55;55;42939;29859;69,5;2;583;29276;10641;9452;4907;1633;1869;344;45;385;x
P;1;Greifswald;0;Kreisfreie Stadt;13001000;Greifswald, Hansestadt;55;55;42939;29859;69,5;2;2;98;36,3;32,3;16,8;5,6;6,4;1,2;0,2;1,3;x
A;2;Neubrandenburg;0;Kreisfreie Stadt;13002000;Neubrandenburg, Stadt;78;78;57897;41882;72,3;1;916;40966;16899;10162;9037;1010;3199;x;x;659;x
P;2;Neubrandenburg;0;Kreisfreie Stadt;13002000;Neubrandenburg, Stadt;78;78;57897;41882;72,3;1;2,2;97,8;41,3;24,8;22,1;2,5;7,8;x;x;1,6;x
A;2;Neubrandenburg;0;Kreisfreie Stadt;13002000;Neubrandenburg, Stadt;78;78;57897;41882;72,3;2;722;41160;17272;10332;8775;1355;2414;266;153;593;x
P;2;Neubrandenburg;0;Kreisfreie Stadt;13002000;Neubrandenburg, Stadt;78;78;57897;41882;72,3;2;1,7;98,3;42;25,1;21,3;3,3;5,9;0,6;0,4;1,4;x
A;3;Rostock;0;Kreisfreie Stadt;13003000;Rostock, Hansestadt;189;189;161960;115637;71,4;1;2267;113370;51207;24014;21016;10428;4161;x;x;1874;670
P;3;Rostock;0;Kreisfreie Stadt;13003000;Rostock, Hansestadt;189;189;161960;115637;71,4;1;2;98;45,2;21,2;18,5;9,2;3,7;x;x;1,7;0,6
A;3;Rostock;0;Kreisfreie Stadt;13003000;Rostock, Hansestadt;189;189;161960;115637;71,4;2;2081;113556;55109;24444;20682;5711;5259;616;160;1575;x
P;3;Rostock;0;Kreisfreie Stadt;13003000;Rostock, Hansestadt;189;189;161960;115637;71,4;2;1,8;98,2;48,5;21,5;18,2;5;4,6;0,5;0,1;1,4;x
A;4;Schwerin;0;Kreisfreie Stadt;13004000;Schwerin, Landeshauptstadt;111;111;79643;57968;72,8;1;978;56990;28106;12921;10277;1719;2404;279;x;994;290
P;4;Schwerin;0;Kreisfreie Stadt;13004000;Schwerin, Landeshauptstadt;111;111;79643;57968;72,8;1;1,7;98,3;49,3;22,7;18;3;4,2;0,5;x;1,7;0,5
A;4;Schwerin;0;Kreisfreie Stadt;13004000;Schwerin, Landeshauptstadt;111;111;79643;57968;72,8;2;973;56995;26575;13190;9993;3075;2890;262;72;938;x
P;4;Schwerin;0;Kreisfreie Stadt;13004000;Schwerin, Landeshauptstadt;111;111;79643;57968;72,8;2;1,7;98,3;46,6;23,1;17,5;5,4;5,1;0,5;0,1;1,6;x
A;5;Stralsund;0;Kreisfreie Stadt;13005000;Stralsund, Hansestadt;69;69;49014;33951;69,3;1;704;33247;12110;13238;5370;784;1192;x;x;553;x
P;5;Stralsund;0;Kreisfreie Stadt;13005000;Stralsund, Hansestadt;69;69;49014;33951;69,3;1;2,1;97,9;36,4;39,8;16,2;2,4;3,6;x;x;1,7;x
A;5;Stralsund;0;Kreisfreie Stadt;13005000;Stralsund, Hansestadt;69;69;49014;33951;69,3;2;861;33090;12498;11114;5505;1213;1658;322;127;653;x
P;5;Stralsund;0;Kreisfreie Stadt;13005000;Stralsund, Hansestadt;69;69;49014;33951;69,3;2;2,5;97,5;37,8;33,6;16,6;3,7;5;1;0,4;2;x
A;6;Wismar;0;Kreisfreie Stadt;13006000;Wismar, Hansestadt;39;39;36924;26306;71,2;1;812;25494;13941;6404;3487;669;993;x;x;x;x
P;6;Wismar;0;Kreisfreie Stadt;13006000;Wismar, Hansestadt;39;39;36924;26306;71,2;1;3,1;96,9;54,7;25,1;13,7;2,6;3,9;x;x;x;x
A;6;Wismar;0;Kreisfreie Stadt;13006000;Wismar, Hansestadt;39;39;36924;26306;71,2;2;567;25739;13531;6022;3457;919;1200;129;33;448;x
P;6;Wismar;0;Kreisfreie Stadt;13006000;Wismar, Hansestadt;39;39;36924;26306;71,2;2;2,2;97,8;52,6;23,4;13,4;3,6;4,7;0,5;0,1;1,7;x
A;51;Bad Doberan;5101;Bad Doberan, Stadt;13051004;Bad Doberan, Stadt;15;15;9663;7060;73,1;1;167;6893;3258;1839;1130;217;307;x;x;142;x
P;51;Bad Doberan;5101;Bad Doberan, Stadt;13051004;Bad Doberan, Stadt;15;15;9663;7060;73,1;1;2,4;97,6;47,3;26,7;16,4;3,1;4,5;x;x;2,1;x
A;51;Bad Doberan;5101;Bad Doberan, Stadt;13051004;Bad Doberan, Stadt;15;15;9663;7060;73,1;2;143;6917;3096;1820;1235;248;311;72;14;121;x
P;51;Bad Doberan;5101;Bad Doberan, Stadt;13051004;Bad Doberan, Stadt;15;15;9663;7060;73,1;2;2;98;44,8;26,3;17,9;3,6;4,5;1;0,2;1,7;x
A;51;Bad Doberan;5102;Graal-Müritz;13051022;Graal-Müritz;4;4;3393;2575;75,9;1;82;2493;1089;717;413;78;166;x;x;30;x
P;51;Bad Doberan;5102;Graal-Müritz;13051022;Graal-Müritz;4;4;3393;2575;75,9;1;3,2;96,8;43,7;28,8;16,6;3,1;6,7;x;x;1,2;x
A;51;Bad Doberan;5102;Graal-Müritz;13051022;Graal-Müritz;4;4;3393;2575;75,9;2;68;2507;1059;690;425;92;184;10;5;42;x
P;51;Bad Doberan;5102;Graal-Müritz;13051022;Graal-Müritz;4;4;3393;2575;75,9;2;2,6;97,4;42,2;27,5;17;3,7;7,3;0,4;0,2;1,7;x
A;51;Bad Doberan;5103;Kühlungsborn, Stadt;13051042;Kühlungsborn, Stadt;5;5;6096;4309;70,7;1;110;4199;1958;1242;571;151;213;x;x;64;x
P;51;Bad Doberan;5103;Kühlungsborn, Stadt;13051042;Kühlungsborn, Stadt;5;5;6096;4309;70,7;1;2,6;97,4;46,6;29,6;13,6;3,6;5,1;x;x;1,5;x
A;51;Bad Doberan;5103;Kühlungsborn, Stadt;13051042;Kühlungsborn, Stadt;5;5;6096;4309;70,7;2;95;4214;1861;1256;622;170;208;28;8;61;x
P;51;Bad Doberan;5103;Kühlungsborn, Stadt;13051042;Kühlungsborn, Stadt;5;5;6096;4309;70,7;2;2,2;97,8;44,2;29,8;14,8;4;4,9;0,7;0,2;1,4;x
A;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3547;2430;68,5;1;74;2356;1118;728;278;59;125;x;x;48;x
P;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3547;2430;68,5;1;3;97;47,5;30,9;11,8;2,5;5,3;x;x;2;x
A;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3547;2430;68,5;2;71;2359;1050;736;303;70;120;16;5;59;x
P;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3547;2430;68,5;2;2,9;97,1;44,5;31,2;12,8;3;5,1;0,7;0,2;2,5;x
A;51;Bad Doberan;5105;Tessin, Stadt;13051077;Tessin, Stadt;5;5;3459;2394;69,2;1;75;2319;906;942;276;40;122;x;x;33;x
P;51;Bad Doberan;5105;Tessin, Stadt;13051077;Tessin, Stadt;5;5;3459;2394;69,2;1;3,1;96,9;39,1;40,6;11,9;1,7;5,3;x;x;1,4;x
A;51;Bad Doberan;5105;Tessin, Stadt;13051077;Tessin, Stadt;5;5;3459;2394;69,2;2;67;2327;871;914;304;52;127;14;8;37;x
P;51;Bad Doberan;5105;Tessin, Stadt;13051077;Tessin, Stadt;5;5;3459;2394;69,2;2;2,8;97,2;37,4;39,3;13,1;2,2;5,5;0,6;0,3;1,6;x
A;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4650;3460;74,4;1;75;3385;1527;914;589;83;214;x;x;58;x
P;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4650;3460;74,4;1;2,2;97,8;45,1;27;17,4;2,5;6,3;x;x;1,7;x
A;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4650;3460;74,4;2;70;3390;1444;897;619;114;218;40;9;49;x
P;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4650;3460;74,4;2;2;98;42,6;26,5;18,3;3,4;6,4;1,2;0,3;1,4;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2334;1652;70,8;1;31;1621;629;578;233;39;120;x;x;22;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2334;1652;70,8;1;1,9;98,1;38,8;35,7;14,4;2,4;7,4;x;x;1,4;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2334;1652;70,8;2;24;1628;616;555;233;53;135;6;7;23;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2334;1652;70,8;2;1,5;98,5;37,8;34,1;14,3;3,3;8,3;0,4;0,4;1,4;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;954;682;71,5;1;18;664;261;230;101;23;38;x;x;11;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;954;682;71,5;1;2,6;97,4;39,3;34,6;15,2;3,5;5,7;x;x;1,7;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;954;682;71,5;2;10;672;240;226;102;35;45;4;4;16;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;954;682;71,5;2;1,5;98,5;35,7;33,6;15,2;5,2;6,7;0,6;0,6;2,4;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051013;Börgerende-Rethwisch;2;2;1351;967;71,6;1;13;954;392;308;126;33;73;x;x;22;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051013;Börgerende-Rethwisch;2;2;1351;967;71,6;1;1,3;98,7;41,1;32,3;13,2;3,5;7,7;x;x;2,3;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051013;Börgerende-Rethwisch;2;2;1351;967;71,6;2;9;958;378;292;130;41;83;8;1;25;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051013;Börgerende-Rethwisch;2;2;1351;967;71,6;2;0,9;99,1;39,5;30,5;13,6;4,3;8,7;0,8;0,1;2,6;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;635;488;76,9;1;5;483;199;155;74;13;39;x;x;3;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;635;488;76,9;1;1;99;41,2;32,1;15,3;2,7;8,1;x;x;0,6;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;635;488;76,9;2;5;483;196;152;74;18;39;1;0;3;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051028;Hohenfelde;1;1;635;488;76,9;2;1;99;40,6;31,5;15,3;3,7;8,1;0,2;0;0,6;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1545;1082;70;1;19;1063;417;382;157;25;59;x;x;23;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1545;1082;70;1;1,8;98,2;39,2;35,9;14,8;2,4;5,6;x;x;2,2;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1545;1082;70;2;9;1073;404;369;163;36;68;7;1;25;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051049;Nienhagen;2;2;1545;1082;70;2;0,8;99,2;37,7;34,4;15,2;3,4;6,3;0,7;0,1;2,3;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;612;428;69,9;1;10;418;198;124;66;7;14;x;x;9;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;612;428;69,9;1;2,3;97,7;47,4;29,7;15,8;1,7;3,3;x;x;2,2;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;612;428;69,9;2;15;413;186;118;67;11;19;4;0;8;x
