Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 18. September 2005;;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;;

Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;Die Linke.;FDP;GRÜNE;NPD;GRAUE;MLPD;PBC;Einzelbewerber
A;1;Greifswald;0;Greifswald, Hansestadt;13001000;Greifswald, Hansestadt;52;52;43292;30277;69,9;1;570;29707;9241;9610;6801;1741;1503;811;x;x;x;x
P;1;Greifswald;0;Greifswald, Hansestadt;13001000;Greifswald, Hansestadt;52;52;43292;30277;69,9;1;1,9;98,1;31,1;32,3;22,9;5,9;5,1;2,7;x;x;x;x
A;1;Greifswald;0;Greifswald, Hansestadt;13001000;Greifswald, Hansestadt;52;52;43292;30277;69,9;2;522;29755;8559;9037;6989;2145;1835;709;283;123;75;x
P;1;Greifswald;0;Greifswald, Hansestadt;13001000;Greifswald, Hansestadt;52;52;43292;30277;69,9;2;1,7;98,3;28,8;30,4;23,5;7,2;6,2;2,4;1;0,4;0,3;x
A;2;Neubrandenburg;0;Neubrandenburg, Stadt;13002000;Neubrandenburg, Stadt;78;78;57475;41739;72,6;1;790;40949;13952;10471;12600;1571;1172;1183;x;x;x;x
P;2;Neubrandenburg;0;Neubrandenburg, Stadt;13002000;Neubrandenburg, Stadt;78;78;57475;41739;72,6;1;1,9;98,1;34,1;25,6;30,8;3,8;2,9;2,9;x;x;x;x
A;2;Neubrandenburg;0;Neubrandenburg, Stadt;13002000;Neubrandenburg, Stadt;78;78;57475;41739;72,6;2;726;41013;13735;9781;12036;2306;1548;1097;257;134;119;x
P;2;Neubrandenburg;0;Neubrandenburg, Stadt;13002000;Neubrandenburg, Stadt;78;78;57475;41739;72,6;2;1,7;98,3;33,5;23,8;29,3;5,6;3,8;2,7;0,6;0,3;0,3;x
A;3;Rostock;0;Rostock, Hansestadt;13003000;Rostock, Hansestadt;190;190;165436;118417;71,6;1;2132;116285;44633;28168;26257;4311;11915;x;x;1001;x;x
P;3;Rostock;0;Rostock, Hansestadt;13003000;Rostock, Hansestadt;190;190;165436;118417;71,6;1;1,8;98,2;38,4;24,2;22,6;3,7;10,2;x;x;0,9;x;x
