Wahl zum Deutschen Bundestag in Mecklenburg-Vorpommern am 26. September 2021
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Beispiel: 13071751 - Briefwahlergebnis der Gemeinden des Amtes Demmin-Land (Amt 5151)
(c) Die Landeswahlleiterin Mecklenburg-Vorpommern

Berechnungsdatum;Ausgabe;Kreis;Kreisname;Wahlkreis;Wahlkreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;Erf. Wahlbezirke;Wahlberechtigte;Wähler;Wahlbeteiligung;Erst-/Zweitstimme;Ungültige Stimmen;Gültige Stimmen;CDU;AfD;DIE LINKE;SPD;FDP;GRÜNE;Tierschutzpartei;NPD;Die PARTEI;FREIE  WÄHLER;MLPD;ÖDP;dieBasis;DKP;Die Humanisten;PIRATEN;Team Todenhöfer;Volt;Einzelbewerber
11.10.2021 09:29:16;A;3;Rostock;14;Rostock - Landkreis Rostock II;1;Rostock, Hansestadt;13003000;Rostock, Hanse- und Universitätsstadt;186;186;167537;121988;72,8;1;1770;120218;17924;13207;23770;32938;8681;13885;3553;x;x;1457;294;x;3433;x;x;1076;x;x;x
11.10.2021 09:29:16;P;3;Rostock;14;Rostock - Landkreis Rostock II;1;Rostock, Hansestadt;13003000;Rostock, Hanse- und Universitätsstadt;186;186;167537;121988;72,8;1;1,5;98,5;14,9;11,0;19,8;27,4;7,2;11,5;3,0;x;x;1,2;0,2;x;2,9;x;x;0,9;x;x;x
11.10.2021 09:29:16;A;3;Rostock;14;Rostock - Landkreis Rostock II;1;Rostock, Hansestadt;13003000;Rostock, Hanse- und Universitätsstadt;186;186;167537;121988;72,8;2;1791;120197;15069;13661;17012;35216;10527;17576;3005;472;1757;1296;122;223;2493;106;242;690;309;421;x
11.10.2021 09:29:16;P;3;Rostock;14;Rostock - Landkreis Rostock II;1;Rostock, Hansestadt;13003000;Rostock, Hanse- und Universitätsstadt;186;186;167537;121988;72,8;2;1,5;98,5;12,5;11,4;14,2;29,3;8,8;14,6;2,5;0,4;1,5;1,1;0,1;0,2;2,1;0,1;0,2;0,6;0,3;0,4;x
11.10.2021 09:29:16;A;4;Schwerin;12;Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;79;75717;54676;72,2;1;1017;53659;9159;7636;7025;16451;4198;5426;x;x;858;1280;98;x;902;x;x;626;x;x;x
11.10.2021 09:29:16;P;4;Schwerin;12;Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;79;75717;54676;72,2;1;1,9;98,1;17,1;14,2;13,1;30,7;7,8;10,1;x;x;1,6;2,4;0,2;x;1,7;x;x;1,2;x;x;x
11.10.2021 09:29:16;A;4;Schwerin;12;Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;79;75717;54676;72,2;2;790;53886;7807;7359;6648;16841;4801;6005;925;240;535;864;47;72;833;54;91;431;139;194;x
11.10.2021 09:29:16;P;4;Schwerin;12;Schwerin - Ludwigslust-Parchim I - Nordwestmecklenburg I;2;Schwerin, Landeshauptstadt;13004000;Schwerin, Landeshauptstadt;79;79;75717;54676;72,2;2;1,4;98,6;14,5;13,7;12,3;31,3;8,9;11,1;1,7;0,4;1,0;1,6;0,1;0,1;1,5;0,1;0,2;0,8;0,3;0,4;x
11.10.2021 09:29:16;A;71;Mecklenburgische Seenplatte;16;Mecklenburgische Seenplatte I - Vorpommern-Greifswald II;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;56;56;51724;35839;69,3;1;716;35123;5882;6477;5628;10128;2465;1969;1053;x;x;452;x;x;830;x;x;x;x;x;239
11.10.2021 09:29:16;P;71;Mecklenburgische Seenplatte;16;Mecklenburgische Seenplatte I - Vorpommern-Greifswald II;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;56;56;51724;35839;69,3;1;2,0;98,0;16,7;18,4;16,0;28,8;7,0;5,6;3,0;x;x;1,3;x;x;2,4;x;x;x;x;x;0,7
11.10.2021 09:29:16;A;71;Mecklenburgische Seenplatte;16;Mecklenburgische Seenplatte I - Vorpommern-Greifswald II;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;56;56;51724;35839;69,3;2;600;35239;5513;6208;4792;10797;2750;2201;842;184;340;402;23;41;719;40;66;155;108;58;x
11.10.2021 09:29:16;P;71;Mecklenburgische Seenplatte;16;Mecklenburgische Seenplatte I - Vorpommern-Greifswald II;101;Neubrandenburg, Stadt;13071107;Neubrandenburg, Vier-Tore-Stadt;56;56;51724;35839;69,3;2;1,7;98,3;15,6;17,6;13,6;30,6;7,8;6,2;2,4;0,5;1,0;1,1;0,1;0,1;2,0;0,1;0,2;0,4;0,3;0,2;x
11.10.2021 09:29:16;A;71;Mecklenburgische Seenplatte;17;Mecklenburgische Seenplatte II - Landkreis Rostock III;111;Dargun, Stadt;13071027;Dargun, Stadt;6;6;3655;2606;71,3;1;48;2558;655;611;217;744;173;91;x;x;x;61;6;x;x;x;x;x;x;x;x
11.10.2021 09:29:16;P;71;Mecklenburgische Seenplatte;17;Mecklenburgische Seenplatte II - Landkreis Rostock III;111;Dargun, Stadt;13071027;Dargun, Stadt;6;6;3655;2606;71,3;1;1,8;98,2;25,6;23,9;8,5;29,1;6,8;3,6;x;x;x;2,4;0,2;x;x;x;x;x;x;x;x
11.10.2021 09:29:16;A;71;Mecklenburgische Seenplatte;17;Mecklenburgische Seenplatte II - Landkreis Rostock III;111;Dargun, Stadt;13071027;Dargun, Stadt;6;6;3655;2606;71,3;2;54;2552;564;585;214;759;185;70;42;13;20;45;1;5;29;1;3;7;5;4;x
